Order ID,Customer ID,Category,Product,Price,Quantity,Total Cost,Purchase Date,Payment Method
8a2a8db1-1398-4406-af9a-7803234736c4,4ec7960c-c8fc-44e0-914c-604cb33762e4,Electronics,Smartwatch,138.95,2,277.9,2024-08-13,Cryptocurrency
ffe60ca1-67ed-4aa3-b50e-e19d4691915d,cc081fe4-6de9-4838-b4a2-5463110df24e,Beauty,Lipstick,489.61,3,1468.83,2024-07-01,PayPal
51d62960-95c6-4c1a-8056-55a27522a65c,25f8f7b0-5bb2-438f-a607-49831d647ecc,Sports,Running Shoes,182.01,3,546.03,2024-09-15,PayPal
65650a02-31dc-41e6-801b-3c33575ec9b6,f13cbf81-2af6-4715-a996-e3f27e033637,Clothing,Sneakers,305.63,3,916.89,2025-01-11,PayPal
aa0f5bb6-359e-43b6-a49f-adac574f5692,53386611-5a1f-41ef-9511-1e9fc3e575bb,Sports,Basketball,19.38,3,58.14,2024-07-17,Cryptocurrency
ea108527-38a4-4cb3-aae7-cb75d3dc61f5,d804eefb-2aed-4a0b-8a7b-3888925a8ee7,Beauty,Lipstick,30.74,5,153.7,2024-03-10,Cryptocurrency
b5eac68a-0589-4c3d-b398-e7a4139205e8,d216943e-ddc1-43db-9979-531821532883,Beauty,Foundation,163.78,1,163.78,2024-08-07,PayPal
9fcab959-d954-4714-b93d-50bd6a2729e3,d9dc2ee2-5c23-450b-aaf4-991e9f089923,Clothing,Sweater,298.27,3,894.81,2024-07-01,Gift Card
3d51ae0e-cd7e-420d-ac03-a7384438c687,aef515d5-0d12-4c46-9ad2-6c3d24f1b745,Electronics,Headphones,418.3,5,2091.5,2024-02-23,Cryptocurrency
fc1e3a71-3e7b-4100-bf3c-b02076e2bc82,876ba78f-8932-4ec7-9d54-efc658f58b49,Home & Kitchen,Blender,104.52,3,313.56,2024-10-09,Gift Card
45908972-6db0-40c9-a762-7634cd643778,052b2572-bbc1-409e-a115-8cf87f35be63,Home & Kitchen,Air Fryer,42.45,5,212.25,2024-04-14,Debit Card
b08d8d98-e1b8-4808-be5b-a27feda7b5ab,a17d7fc0-cb51-4d4e-a409-9eb439b1add4,Clothing,Jeans,432.85,5,2164.25,2024-09-09,Cryptocurrency
ccc180d5-7c08-43e4-afff-49eeee85b224,cad551c2-94c1-4d08-b737-5d7fdb59fbe8,Sports,Yoga Mat,280.15,5,1400.75,2024-08-12,Gift Card
966e37ca-7da9-48b6-9b4b-6a1657e16a8a,1fb1ec58-126e-4f7d-9e66-8af5b9441b28,Clothing,Jeans,149.95,2,299.9,2024-08-14,Gift Card
a7c3aac3-c7fc-41da-8e93-94f0b777f9ff,cd2722e0-5233-4f1c-9c3d-8c5b63c3292e,Clothing,Sneakers,402.47,2,804.94,2024-03-30,Debit Card
5b3c67e0-f4c4-402a-8606-183f21047004,04697f11-df29-4880-9b3f-e9b3d32b7d83,Beauty,Lipstick,174.86,4,699.44,2024-12-06,Cryptocurrency
816e75eb-1c56-4349-93ae-a0dad3b77287,0baf35c5-9c28-4219-9bec-87a1a642331f,Sports,Basketball,470.25,5,2351.25,2024-07-09,Cryptocurrency
9fddd7f2-e0a1-40a1-ad95-04c6822e1529,e0e0a9e7-2fb2-45c6-bee0-3390fb197402,Sports,Basketball,46.68,3,140.04,2024-10-28,Credit Card
118fcc97-6432-43c4-8db6-ce0cf631f2a9,1b043e03-c75d-41a1-8f95-e03dc7072c9e,Clothing,Jacket,72.63,1,72.63,2024-07-10,Credit Card
81455746-5934-47e1-ba17-8e078363de95,f02f8f7c-fea9-4df5-8e3e-d58f1ab99bff,Electronics,Smartphone,148.26,2,296.52,2024-11-02,Cryptocurrency
1290aca4-5597-480a-b7a5-22bc846f8fa3,3f0096b8-34e9-41cc-9054-8e0b2729fbe3,Electronics,Tablet,194.96,5,974.8,2024-03-30,Cryptocurrency
b145f718-dcd6-457e-8a59-49752a2b834f,a3661fc1-a4e2-4b3a-9e04-f54bbb50b95a,Beauty,Lipstick,349.24,5,1746.2,2024-03-18,Credit Card
50df8cb3-6107-44d7-98dd-1f66a9f68099,90bddefb-a37c-41c3-9583-5d41b6b80cbf,Clothing,Sneakers,224.67,5,1123.35,2024-04-22,Gift Card
be991a7e-b236-4d8d-99b4-d5386c50358c,0e9b2e1e-1800-4f40-85cf-9c0369b36927,Home & Kitchen,Vacuum Cleaner,197.94,1,197.94,2024-12-25,PayPal
d73b0ac5-0d42-4298-8dae-7a574547cb56,8a15162d-b09d-4c5d-aee4-2d5633530516,Sports,Basketball,174.6,3,523.8,2024-11-01,Gift Card
5fa81d6e-9378-4e25-9216-bd0d3d5cf82a,95fb496e-d4a2-4b6e-88b3-d3c272b5acb0,Electronics,Laptop,285.81,3,857.43,2024-08-09,PayPal
46d53c1d-820f-4c5c-a34d-0616047b73ec,401887e8-0f92-4fbb-b981-c0331da7f3c1,Electronics,Smartphone,245.93,4,983.72,2025-01-21,Debit Card
51915417-388b-446e-a22a-e1edfefa21a6,f9dc89dc-b9f6-4124-8181-d71d9adffbc7,Home & Kitchen,Vacuum Cleaner,259.59,1,259.59,2025-01-22,Cryptocurrency
01b6bfa5-f321-4fb0-acd3-003d834cd59e,872635c1-a451-4989-bc74-4cd882a41a04,Sports,Yoga Mat,42.47,4,169.88,2024-04-05,Cryptocurrency
